"individual_ID","species","potential_mortality_date","days_tracked_after","baseline_distance","baseline_speed","mean_distance_after","mean_speed_after","reduction_distance_pct","reduction_speed_pct","gps_noise_threshold","movement_vs_gps_noise","mortality_threshold","interpretation","days_since_start"
"F59687","Roach",2022-09-29,3,883.659533883577,95.0480371901754,92.4644167329092,71.870276668898,89.5361942934583,24.3853121079214,52.2442751477546,1.76984782488428,132.548930082536,"Possibly dead",0
"F59745","Roach",2022-09-29,8,910.893236114024,63.7280486171845,48.3792689665722,12.2188836546355,94.6888101647385,80.8265215713186,46.8235829114632,1.03322441296409,136.633985417104,"Possibly dead",0
"F59683","Roach",2022-09-30,6,1340.85764047834,75.7142676575363,127.643494753714,8.54804876428687,90.4804588570507,88.7101215811126,78.9922320691897,1.61589932845436,201.128646071751,"Possibly dead",1
"F59692","Perch",2022-10-20,11,975.10807359594,137.460572638979,608.171810067918,92.8492357956086,37.6303174452098,32.4539145930489,45.8598408196104,13.2615333851716,146.266211039391,"Uncertain",21
"F59701","Roach",2022-10-23,3,2520.87628116493,155.878994217404,5.1446944616,3.81642494961298,99.7959164239817,97.5516746378988,66.7294731033084,0.0770977833683049,378.131442174739,"Very likely dead",24
"F59719","Roach",2022-10-23,8,1936.45286635844,134.090879151883,75.658021644586,17.9029992822755,96.0929582661692,86.6486077237237,62.1629802302875,1.2170912875204,290.467929953765,"Possibly dead",24
"F59729","Roach",2022-10-24,5,2753.26461562764,136.089205753292,42.1301941212199,12.8620826188353,98.4698094806403,90.5487855942431,71.4297268814108,0.589813176678742,412.989692344146,"Very likely dead",25
